"Question","Answer","Keywords","Category"
"Can a woman file against her ex-husband?","Yes, if violence occurred during marriage.","ex-husband, file","Eligibility"
"What is the role of a counselor under PWDVA?","To mediate or assist as per court direction (Section 14).","counselor, Section 14","Procedure"
"How to get a shelter home under PWDVA?","Contact a Protection Officer or service provider (Section 7).","shelter home, Section 7","Remedies"
"Can a woman file in a different state?","Yes, where she resides or where violence occurred (Section 27).","state, jurisdiction","Procedure"
"What is the punishment for dowry demands?","Covered as economic abuse; penalties under Section 31 if orders breached.","dowry, penalty","Penalties"
"Can a woman file against her brother-in-law?","Yes, if he’s part of the domestic relationship.","brother-in-law, respondent","Eligibility"
"What is the latest amendment to PWDVA?","As of April 1, 2025, no major amendments; check official sources.","amendment, 2025","Introduction"
"Can a case be reopened under PWDVA?","Yes, if new violence occurs or orders are breached.","reopen, violence","Procedure"
"What is the maximum penalty under PWDVA?","1 year imprisonment or Rs. 20,000 fine for breaching orders (Section 31).","maximum penalty, Section 31","Penalties"
"Can a woman file for mental harassment?","Yes, as emotional or verbal abuse under Section 3.","mental harassment, Section 3","Definition"
"What does Section 2(a) of PWDVA define?","It defines an 'aggrieved person' as any woman in a domestic relationship facing violence.","Section 2(a), aggrieved person","Definition"
"What is the role of a Magistrate under PWDVA?","To hear applications, issue orders, and enforce reliefs (Section 12).","Magistrate, role, Section 12","Procedure"
"Can a woman file against her father-in-law?","Yes, if he’s part of the domestic relationship (Section 2(q)).","father-in-law, respondent","Eligibility"
"What is the punishment for breaching a residence order?","Up to 1 year imprisonment or Rs. 20,000 fine under Section 31.","residence order, breach, Section 31","Penalties"
"How does Section 4 help victims?","It allows anyone to report violence to a Protection Officer on behalf of a victim.","Section 4, report","Procedure"
"What is Form III under PWDVA?","A form for drafting a safety plan for victims under the PWDVA Rules.","Form III, safety plan","Procedure"
"Can a woman file if she’s separated?","Yes, if violence occurred during the domestic relationship.","separated, file","Eligibility"
"What’s the difference between interim and final orders?","Interim orders are temporary (Section 23), while final orders are permanent after a hearing.","interim order, final order","Remedies"
"How to appeal a residence order?","File an appeal within 30 days to a higher court (Section 29).","appeal, residence order, Section 29","Procedure"
"What is Section 2(b) of PWDVA?","It defines 'child' as any person below 18 years.","Section 2(b), child","Definition"
"Can a woman file against her sister-in-law?","Yes, if she’s a relative in a domestic relationship (Section 2(q)).","sister-in-law, respondent","Eligibility"
"What is the role of shelter homes under PWDVA?","To provide temporary refuge to victims (Section 7).","shelter home, Section 7","Remedies"
"How does Section 6 assist victims?","It mandates officials to inform victims of their rights under the Act.","Section 6, rights","Procedure"
"What is a cognizable offense under PWDVA?","Breach of a protection order, allowing arrest without a warrant (Section 32).","cognizable offense, Section 32","Penalties"
"Can a woman file for dowry-related violence?","Yes, as economic or emotional abuse under Section 3.","dowry, violence, Section 3","Definition"
"What is the purpose of Section 11?","To ensure government spreads awareness about PWDVA provisions.","Section 11, awareness","Introduction"
"How to get a custody order under PWDVA?","Apply to a Magistrate under Section 21 for temporary custody of children.","custody order, Section 21","Remedies"
"What did D. Velusamy vs. D. Patchaiammal say?","Supreme Court defined 'relationship in the nature of marriage' for live-in partners.","Velusamy, live-in","Case Law"
"Can a woman file if the abuser is in jail?","Yes, for past violence during the domestic relationship.","jail, abuser, file","Eligibility"
"What is Section 2(q) of PWDVA?","It defines 'respondent' as any adult in a domestic relationship with the victim.","Section 2(q), respondent","Definition"
"How does Section 13 work?","It mandates serving notice to the respondent after an application is filed.","Section 13, notice","Procedure"
"What is an in-camera proceeding?","A private court hearing allowed under Section 16.","in-camera, Section 16","Procedure"
"Can a woman file against her son?","Yes, if he’s an adult in a domestic relationship.","son, respondent","Eligibility"
"What is the role of counselors under Section 14?","To mediate or provide support as directed by the court.","counselors, Section 14","Procedure"
"How to report verbal abuse under PWDVA?","File a DIR with a Protection Officer citing Section 3.","verbal abuse, DIR, Section 3","Procedure"
"What is the time limit to file a PWDVA case?","No strict limit; depends on when the violence occurred.","time limit, file","Eligibility"
"Can a woman file against her daughter-in-law?","Yes, if she’s in a domestic relationship as per Section 2(q).","daughter-in-law, respondent","Eligibility"
"What is Section 2(f) of PWDVA?","It defines 'domestic relationship' as living together in a shared household.","Section 2(f), domestic relationship","Definition"
"How does Section 15 assist proceedings?","It allows trained counselors to participate in hearings.","Section 15, counselors","Procedure"
"What is the penalty for neglecting duties under PWDVA?","Protection Officers can be penalized under Section 33.","penalty, Section 33","Penalties"
"Can a woman file in her hometown?","Yes, where she resides or where violence occurred (Section 27).","hometown, jurisdiction","Procedure"
"What is Hiral P. Harsora vs. Kusum case about?","Supreme Court ruled female relatives can be respondents (2016).","Harsora, female respondent","Case Law"
"How to get monetary relief for medical expenses?","Apply under Section 20 citing specific losses.","monetary relief, medical, Section 20","Remedies"
"What is Section 2(s) of PWDVA?","It defines 'shared household' as a place of joint residence.","Section 2(s), shared household","Definition"
"Can a woman file if she’s not married?","Yes, if in a domestic relationship (e.g., live-in).","not married, file","Eligibility"
"What is the role of service providers under Section 10?","To offer legal aid, shelter, or counseling to victims.","service provider, Section 10","Procedure"
"How does Section 17 protect women?","It ensures a woman’s right to reside in the shared household.","Section 17, residence","Remedies"
"What is the process after filing a DIR?","The Protection Officer submits it to the Magistrate (Section 9).","DIR, process, Section 9","Procedure"
"Can a woman file against a female partner?","Yes, if in a domestic relationship recognized by law.","female partner, respondent","Eligibility"
"What is the purpose of Section 35?","It empowers the Central Government to make rules for the Act.","Section 35, rules","Introduction"
"How to get a protection order quickly?","Request an interim order under Section 23.","protection order, interim, Section 23","Remedies"
"What is Section 2(i) of PWDVA?","It defines 'Magistrate' as a Judicial Magistrate of First Class.","Section 2(i), Magistrate","Definition"
"Can a woman file against her uncle?","Yes, if he’s part of the domestic relationship.","uncle, respondent","Eligibility"
"What is the role of police under Section 5?","To assist victims, file DIRs, and enforce orders.","police, Section 5","Procedure"
"How does Section 24 benefit victims?","It ensures free copies of court orders are provided.","Section 24, copies","Procedure"
"What is an ex-parte order under PWDVA?","An order issued without the respondent present (Section 23).","ex-parte, Section 23","Remedies"
"Can a woman file if she’s abroad?","Yes, through a representative in India.","abroad, file","Eligibility"
"What is the punishment for economic abuse?","Penalties apply if orders are breached (Section 31).","economic abuse, penalty","Penalties"
"How to modify a protection order?","Apply to the Magistrate under Section 25.","modify, protection order, Section 25","Procedure"
"What is Section 2(o) of PWDVA?","It defines 'Protection Officer' as an appointed official.","Section 2(o), Protection Officer","Definition"
"Can a woman file against her employer?","No, unless he’s part of a domestic relationship.","employer, respondent","Eligibility"
"What is the role of a shelter home under Section 7?","To provide safe accommodation to victims.","shelter home, Section 7","Remedies"
"How does Section 28 apply to PWDVA?","It incorporates CrPC procedures for hearings.","Section 28, CrPC","Procedure"
"What is the purpose of Section 36?","It ensures PWDVA supplements other laws.","Section 36, supplement","Introduction"
"Can a woman file against her stepson?","Yes, if he’s an adult in a domestic relationship.","stepson, respondent","Eligibility"
"What is the process for interim relief?","File an application under Section 23 for temporary relief.","interim relief, Section 23","Remedies"
"How to report sexual abuse under PWDVA?","File a DIR citing Section 3 with a Protection Officer.","sexual abuse, DIR, Section 3","Procedure"
"What is Section 2(r) of PWDVA?","It defines 'service provider' as a registered NGO or organization.","Section 2(r), service provider","Definition"
"Can a woman file if she’s a widow?","Yes, if violence occurred during the domestic relationship.","widow, file","Eligibility"
"What is the role of a counselor under Section 15?","To assist in mediation or support proceedings.","counselor, Section 15","Procedure"
"How does Section 30 protect officers?","It shields officers acting in good faith from liability.","Section 30, protection","Procedure"
"What is the punishment for physical abuse?","Penalties apply if orders are breached (Section 31).","physical abuse, penalty","Penalties"
"Can a woman file against her cousin?","Yes, if in a domestic relationship in a shared household.","cousin, respondent","Eligibility"
"What is Section 2(e) of PWDVA?","It defines 'domestic incident report' as a record of violence.","Section 2(e), DIR","Definition"
"How to get compensation for emotional abuse?","Apply under Section 22 for damages.","compensation, emotional abuse, Section 22","Remedies"
"What is the role of the government under Section 11?","To promote awareness and education about PWDVA.","Section 11, government","Introduction"
"Can a woman file if the abuser is dead?","No, as the respondent must be alive to face proceedings.","dead, abuser","Eligibility"
"What is the process for serving notice?","The court serves it to the respondent under Section 13.","notice, Section 13","Procedure"
"How does Section 34 limit courts?","Courts can’t act without a report or complaint.","Section 34, cognizance","Procedure"
"What is Section 2(k) of PWDVA?","It defines 'monetary relief' as financial support for losses.","Section 2(k), monetary relief","Definition"
"Can a woman file against her nephew?","Yes, if he’s an adult in a domestic relationship.","nephew, respondent","Eligibility"
"What is the purpose of Section 37?","To allow the government to resolve implementation issues.","Section 37, difficulties","Introduction"
"How to get a residence order enforced?","Approach police or a Protection Officer.","enforce, residence order","Procedure"
"What is the punishment for verbal abuse?","Penalties apply if orders are breached (Section 31).","verbal abuse, penalty","Penalties"
"Can a woman file if she’s a student?","Yes, if in a domestic relationship.","student, file","Eligibility"
"What is Section 2(n) of PWDVA?","It defines 'notification' as a government-issued order.","Section 2(n), notification","Definition"
"How does Section 26 integrate PWDVA?","It allows relief in other legal proceedings.","Section 26, integration","Procedure"
"What is the role of a medical facility under PWDVA?","To provide examination or treatment as ordered (Section 9).","medical facility, Section 9","Remedies"
"Can a woman file against her grandfather?","Yes, if he’s in a domestic relationship.","grandfather, respondent","Eligibility"
"What is the punishment for sexual abuse?","Penalties apply if orders are breached (Section 31).","sexual abuse, penalty","Penalties"
"How to appeal a custody order?","File an appeal within 30 days under Section 29.","appeal, custody order, Section 29","Procedure"
"What is Section 2(g) of PWDVA?","It defines 'joint family' as a family living together.","Section 2(g), joint family","Definition"
"Can a woman file if she’s pregnant?","Yes, regardless of pregnancy, if in a domestic relationship.","pregnant, file","Eligibility"
"What is the role of a welfare expert?","To assist the court as per Section 15.","welfare expert, Section 15","Procedure"
"How does Section 33 penalize officers?","It imposes penalties for willful neglect of duties.","Section 33, penalty","Penalties"
"What is the punishment for emotional abuse?","Penalties apply if orders are breached (Section 31).","emotional abuse, penalty","Penalties"
"Can a woman file against her aunt?","Yes, if she’s in a domestic relationship.","aunt, respondent","Eligibility"
"What is Section 2(d) of PWDVA?","It defines 'compensation order' as damages for violence.","Section 2(d), compensation","Definition"
"How to get a DIR filed quickly?","Approach a Protection Officer immediately (Section 9).","DIR, quick, Section 9","Procedure"
"What is the role of a shelter under Section 6?","To inform victims of available services.","shelter, Section 6","Remedies"
"Can a woman file against her stepfather?","Yes, if he’s in a domestic relationship.","stepfather, respondent","Eligibility"
"What is the punishment for dowry harassment?","Penalties apply if orders are breached (Section 31).","dowry harassment, penalty","Penalties"
"How to cancel a protection order?","Apply to the Magistrate under Section 25.","cancel, protection order, Section 25","Procedure"
"What is Section 2(j) of PWDVA?","It defines 'medical facility' as a recognized healthcare provider.","Section 2(j), medical facility","Definition"
"Can a woman file if she’s disabled?","Yes, through a representative if needed.","disabled, file","Eligibility"
"What is the role of a police officer under Section 32?","To arrest without a warrant for breach of orders.","police, Section 32","Penalties"
"How does Section 21 protect children?","It grants temporary custody to the mother.","Section 21, children","Remedies"
"What is the punishment for neglecting a DIR?","Officers can be penalized under Section 33.","neglect, DIR, Section 33","Penalties"
"Can a woman file against her husband’s friend?","No, unless he’s part of the domestic relationship.","friend, respondent","Eligibility"
"What is Section 2(l) of PWDVA?","It defines 'prescribed' as rules made under the Act.","Section 2(l), prescribed","Definition"
"How to get legal aid under PWDVA?","Contact a service provider or Protection Officer (Section 10).","legal aid, Section 10","Remedies"
"What is the role of a Magistrate under Section 18?","To issue protection orders to stop violence.","Magistrate, Section 18","Remedies"
"Can a woman file if she’s a minor?","Yes, through a guardian (Section 4).","minor, file","Eligibility"
"What is the punishment for violating a custody order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","custody order, penalty","Penalties"
"How does Section 19 ensure housing?","It prevents eviction from the shared household.","Section 19, housing","Remedies"
"What is Section 2(h) of PWDVA?","It defines 'order' as a court directive under the Act.","Section 2(h), order","Definition"
"Can a woman file against her ex-boyfriend?","Yes, if in a live-in relationship recognized as domestic.","ex-boyfriend, file","Eligibility"
"What is the role of a service provider under Section 9?","To assist in filing DIRs and providing support.","service provider, Section 9","Procedure"
"How to report economic abuse quickly?","File a DIR with a Protection Officer (Section 9).","economic abuse, DIR","Procedure"
"What is the punishment for breaching an interim order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","interim order, penalty","Penalties"
"Can a woman file against her mother?","Yes, if she’s in a domestic relationship.","mother, respondent","Eligibility"
"What is Section 2(m) of PWDVA?","It defines 'prescribed authority' as a designated official.","Section 2(m), authority","Definition"
"How does Section 22 award damages?","It compensates for physical or mental injuries.","Section 22, damages","Remedies"
"What is the role of a hospital under PWDVA?","To provide medical reports as ordered (Section 9).","hospital, Section 9","Remedies"
"Can a woman file if she’s in a hostel?","Yes, if it’s a shared household with the respondent.","hostel, file","Eligibility"
"What is the punishment for harassing a minor?","Penalties apply if orders are breached (Section 31).","minor, harassment, penalty","Penalties"
"How to get a safety plan under PWDVA?","Request Form III from a Protection Officer.","safety plan, Form III","Procedure"
"What is Section 2(p) of PWDVA?","It defines 'protection order' as an order under Section 18.","Section 2(p), protection order","Definition"
"Can a woman file against her stepmother?","Yes, if in a domestic relationship.","stepmother, respondent","Eligibility"
"What is the role of a counselor under Section 14?","To facilitate reconciliation or report to the court.","counselor, Section 14","Procedure"
"How does Section 20 cover maintenance?","It includes maintenance as monetary relief.","Section 20, maintenance","Remedies"
"What is the punishment for denying residence?","Penalties apply if orders are breached (Section 31).","residence, penalty","Penalties"
"Can a woman file if she’s unemployed?","Yes, employment status doesn’t affect eligibility.","unemployed, file","Eligibility"
"What is Section 2(t) of PWDVA?","It defines 'welfare expert' as a trained professional.","Section 2(t), welfare expert","Definition"
"How to get a medical report under PWDVA?","Request Form II from a Protection Officer.","medical report, Form II","Procedure"
"What is the role of a Magistrate under Section 19?","To issue residence orders protecting housing rights.","Magistrate, Section 19","Remedies"
"Can a woman file against her fiancé?","Yes, if in a live-in domestic relationship.","fiancé, file","Eligibility"
"What is the punishment for mental harassment?","Penalties apply if orders are breached (Section 31).","mental harassment, penalty","Penalties"
"How does Section 23 provide quick relief?","It allows interim orders before a full hearing.","Section 23, quick relief","Remedies"
"What is Section 2(c) of PWDVA?","It defines 'custody order' as an order under Section 21.","Section 2(c), custody order","Definition"
"Can a woman file if she’s in a shelter?","Yes, regardless of current residence.","shelter, file","Eligibility"
"What is the role of a police station under PWDVA?","To register complaints and enforce orders (Section 5).","police station, Section 5","Procedure"
"How to report physical abuse quickly?","File a DIR with a Protection Officer (Section 9).","physical abuse, DIR","Procedure"
"What is the punishment for breaching a monetary order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","monetary order, penalty","Penalties"
"Can a woman file against her landlord?","No, unless he’s part of a domestic relationship.","landlord, respondent","Eligibility"
"What is Section 2(u) of PWDVA?","It defines 'woman' as any female person.","Section 2(u), woman","Definition"
"How does Section 25 modify orders?","It allows changes based on new circumstances.","Section 25, modify","Procedure"
"What is the role of a Protection Officer under Section 18?","To enforce protection orders.","Protection Officer, Section 18","Remedies"
"Can a woman file if she’s in prison?","Yes, through a representative.","prison, file","Eligibility"
"What is the punishment for disobeying a residence order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","residence order, penalty","Penalties"
"How to get counseling under PWDVA?","Request it through the court under Section 14.","counseling, Section 14","Procedure"
"What is Section 2(v) of PWDVA?","It defines 'words and expressions' as per other laws.","Section 2(v), expressions","Definition"
"Can a woman file against her ex-partner?","Yes, if in a prior domestic relationship.","ex-partner, file","Eligibility"
"What is the role of a Magistrate under Section 20?","To award monetary relief for losses.","Magistrate, Section 20","Remedies"
"How does Section 29 handle appeals?","It allows appeals within 30 days to a higher court.","Section 29, appeals","Procedure"
"What is the punishment for breaching a safety plan?","Penalties apply if orders are breached (Section 31).","safety plan, penalty","Penalties"
"Can a woman file against her guardian?","Yes, if in a domestic relationship.","guardian, respondent","Eligibility"
"What is the scope of a protection order?","It can prohibit violence, contact, or entering the household (Section 18).","protection order, scope, Section 18","Remedies"
"Can a woman file if the abuser flees India?","Yes, through a representative; courts may issue notices via diplomatic channels.","flee, abroad, file","Eligibility"
"What is Form IV under PWDVA?","A form for applying for relief under the PWDVA Rules.","Form IV, relief","Procedure"
"How long does a protection order last?","Until modified or canceled by the court (Section 25).","protection order, duration","Remedies"
"What is the role of a Magistrate under Section 21?","To grant temporary custody of children to the victim.","Magistrate, Section 21, custody","Remedies"
"Can a transgender woman file under PWDVA?","Yes, if recognized as a woman in a domestic relationship.","transgender, file","Eligibility"
"What is the penalty for denying monetary relief?","Up to 1 year imprisonment or Rs. 20,000 fine if ordered (Section 31).","monetary relief, penalty","Penalties"
"How does Section 8 appoint Protection Officers?","The state government appoints them to enforce the Act.","Section 8, Protection Officer","Procedure"
"What is the purpose of a DIR under Section 9?","To document incidents of violence for court proceedings.","DIR, Section 9, purpose","Procedure"
"Can a woman file against her ex-fiancé?","Yes, if in a live-in relationship deemed domestic.","ex-fiancé, file","Eligibility"
"What is Section 2(t) of PWDVA about?","It defines 'welfare expert' as a trained professional assisting the court.","Section 2(t), welfare expert","Definition"
"How to report mental harassment under PWDVA?","File a DIR citing emotional abuse under Section 3.","mental harassment, DIR, Section 3","Procedure"
"What is the role of a police officer under Section 18?","To enforce protection orders issued by the court.","police, Section 18","Remedies"
"Can a woman file if she’s mentally ill?","Yes, through a guardian or representative (Section 4).","mentally ill, file","Eligibility"
"What is the punishment for breaching a DIR?","No direct penalty, but related orders’ breach incurs Section 31 penalties.","DIR, breach, Section 31","Penalties"
"How does Section 27 determine jurisdiction?","It’s where the violence occurred or where the woman resides.","Section 27, jurisdiction","Procedure"
"What is Indra Sarma vs. V.K.V. Sarma about?","Supreme Court outlined factors for a live-in relationship under PWDVA (2013).","Indra Sarma, live-in","Case Law"
"Can a woman file against her adopted son?","Yes, if he’s an adult in a domestic relationship.","adopted son, respondent","Eligibility"
"What is the role of a Magistrate under Section 22?","To award compensation for injuries or losses.","Magistrate, Section 22, compensation","Remedies"
"How to renew a protection order?","Apply to the Magistrate under Section 25 for extension.","renew, protection order, Section 25","Procedure"
"What is Section 2(u) of PWDVA?","It defines 'woman' as any female person, regardless of age.","Section 2(u), woman","Definition"
"Can a woman file if she’s in a coma?","Yes, through a legal representative (Section 4).","coma, file","Eligibility"
"What is the penalty for harassing a child under PWDVA?","Penalties apply if custody or protection orders are breached (Section 31).","child, harassment, Section 31","Penalties"
"How does Section 14 facilitate mediation?","It allows courts to refer parties to counseling.","Section 14, mediation","Procedure"
"What is the role of a hospital under Section 18?","To provide evidence of injuries for protection orders.","hospital, Section 18","Remedies"
